id,rz,spp,gen,nub,vol_ml,tot_zoox,zoox_cm2,tank,pco2,temp,time,sur_area,perchg_day_bw,prot_mg_cm2,chlA_ug_cm2,chlA_ug_zoox,chlA_pg_zoox,carbs_mg_mL,carbs_sd,treatment,gen_rz,Growthmg.cm2.day
SFPZ20,F,S,Z,20,9,1062000,324110.1653,700_31_3,700,31,T90,3.276663658,0.000512276,0.072511587,2.152911206,1.98E-05,19.8,2.179476096,0.936238754,"606uatm, 31°C",Z_F,NA
SFPZ21,F,S,Z,21,15,26700000,2762978.977,700_28_3,700,28,T0,9.663482864,NA,0.388058845,2.667559964,9.65E-07,0.965,3.964776882,0.930916562,"674uatm, 28°C",Z_F,NA
SFPZ24,F,S,Z,24,9,11394000,1176590.834,700_28_3,700,28,T90,9.683910216,0.000545387,0.650563652,14.14265074,1.20E-05,12,5.016241712,1.180537473,"674uatm, 28°C",Z_F,1.188053146
SFPZ27,F,S,Z,27,10,13060000,1388887.599,2800_31_3,2800,31,T60,9.403208735,0.000687337,0.691253399,9.678806732,6.97E-06,6.97,3.944685476,0.757425671,"2917uatm, 31°C",Z_F,0.56129776
SFPZ28,F,S,Z,28,4,7080000,590263.9655,2800_31_3,2800,31,T30,11.99463361,0.00077101,0.125055925,1.051168415,1.78E-06,1.78,1.282761018,0.66539001,"2917uatm, 31°C",Z_F,1.306957019
SFPZ31,F,S,Z,31,17,45832000,5323328.826,2800_28_3,2800,28,T0,8.609650371,NA,0.185112047,3.055176327,5.74E-07,0.574,3.495124178,1.918704861,"2750uatm, 28°C",Z_F,NA
SFPZ32,F,S,Z,32,10,11640000,1065863.94,2800_28_3,2800,28,T60,10.92071846,NA,0.648614224,10.05202729,9.43E-06,9.43,5.659534152,1.03766348,"2750uatm, 28°C",Z_F,0.549963816
SFPZ35,F,S,Z,35,13,11544000,1033579.624,400_31_3,400,31,T0,11.16895083,NA,0.853556747,4.537493339,4.39E-06,4.39,6.711318665,0.618299211,"424uatm, 31°C",Z_F,NA
SFPZ37,F,S,Z,37,12,23952000,2036714.207,2800_31_3,2800,31,T90,11.76011829,0.000663826,0.476185686,9.722242341,4.77E-06,4.77,3.641423118,0.241039737,"2917uatm, 31°C",Z_F,0.716687802
SFPZ39,F,S,Z,39,27,50760000,4588178.218,2800_31_3,2800,31,T0,11.06321455,NA,0.22574813,2.203251134,4.80E-07,0.48,3.13455509,0.266403949,"2917uatm, 31°C",Z_F,NA
SFPZ42,F,S,Z,42,32.5,74620000,6154079.666,280_28_3,280,28,T60,12.1252899,NA,0.915785665,17.06555487,2.77E-06,2.77,7.442584398,1.886991032,"358uatm, 28°C",Z_F,0.623429157
SFPZ43,F,S,Z,43,9,17856000,1468993.313,2800_28_3,2800,28,T90,12.15526296,0.000295539,0.357869675,7.429736429,5.06E-06,5.06,4.436296492,1.97532871,"2750uatm, 28°C",Z_F,-0.074864691
SFPZ49,F,S,Z,49,9.5,6384000,738671.281,2800_28_3,2800,28,T30,8.64254529,0.0001917,0.549606608,6.188547263,8.38E-06,8.38,4.894324411,0.591352914,"2750uatm, 28°C",Z_F,0.184604708
SFPZ5,F,S,Z,5,9,28944000,3440907.86,280_28_3,280,28,T0,8.411733525,NA,0.427973614,3.356378316,9.75E-07,0.975,3.574321397,0.77045877,"358uatm, 28°C",Z_F,NA
SFPZ7,F,S,Z,7,9,23796000,2223569.773,280_28_3,280,28,T90,10.70171051,0.001287111,0.525616909,12.97784311,5.84E-06,5.84,4.676286096,0.765969169,"358uatm, 28°C",Z_F,1.396972941
SFPZ8,F,S,Z,8,28,59808000,5636748.676,280_28_3,280,28,T30,10.61037194,0.000926039,0.63774076,8.098340045,1.44E-06,1.44,2.637969699,1.31303808,"358uatm, 28°C",Z_F,0.874668259
SFSX10,F,S,X,10,9,14112000,1060157.516,400_31_1,400,31,T90,13.31122949,0.000835837,0.338060433,9.603728947,9.06E-06,9.06,2.824723001,0.46822747,"424uatm, 31°C",X_F,1.466503733
SFSX11,F,S,X,11,48.5,57792600,4954807.948,400_31_3,400,31,T30,11.66394351,0.001174739,0.337846715,7.667526848,1.55E-06,1.55,3.67404146,0.211023978,"424uatm, 31°C",X_F,NA
SFSX12,F,S,X,12,54,24840000,2770078.395,400_31_1,400,31,T60,8.967255238,0.000867718,0.36884196,7.763570697,2.80E-06,2.8,1.69891401,0.84889399,"424uatm, 31°C",X_F,1.444349637
SFSX17,F,S,X,17,16,37760000,4007513.647,700_31_1,700,31,T60,9.422301038,0.000687321,1.103764352,31.08064567,7.76E-06,7.76,5.941342533,0.491653396,"606uatm, 31°C",X_F,1.048045479
SFSX18,F,S,X,18,8,21584000,2069924.415,700_31_1,700,31,T30,10.42743389,0.000834655,0.53065149,6.17190391,2.98E-06,2.98,4.477328551,0.671055832,"606uatm, 31°C",X_F,1.264521494
SFSX19,F,S,X,19,11.5,18262000,1770542.896,700_31_1,700,31,T90,10.3143505,0.000682121,0.511019413,11.05101092,6.24E-06,6.24,2.610082365,0.44220104,"606uatm, 31°C",X_F,1.36331092
SFSX20,F,S,X,20,17,81056000,7458713.844,700_31_1,700,31,T0,10.86728915,NA,0.795199847,4.50208321,6.04E-07,0.604,4.398071182,0.924570216,"606uatm, 31°C",X_F,NA
SFSX21,F,S,X,21,48,42816000,4285565.888,700_28_1,700,28,T0,9.990745941,NA,0.228211188,3.540287202,8.26E-07,0.826,4.996104333,1.083845429,"674uatm, 28°C",X_F,NA
SFSX22,F,S,X,22,11.5,18193000,1450253.371,700_28_1,700,28,T90,12.54470451,0.000647166,0.702819796,12.52501084,8.64E-06,8.64,9.366730982,0.967332581,"674uatm, 28°C",X_F,1.253915546
SFSX23,F,S,X,23,55,38060000,4215404.615,700_28_1,700,28,T60,9.02878928,0.000614297,0.335039384,7.555280989,1.79E-06,1.79,NA,NA,"674uatm, 28°C",X_F,1.223862874
SFSX24,F,S,X,24,7,30576000,3356907.27,700_28_1,700,28,T30,9.108383861,0.000183803,0.403474431,3.157425119,9.41E-07,0.941,2.432037602,0.465686234,"674uatm, 28°C",X_F,0.298044738
SFSX25,F,S,X,25,30,28440000,2846658.498,2800_31_1,2800,31,T0,9.990660988,NA,0.292773421,2.615306438,9.19E-07,0.919,4.325693635,2.484484996,"2917uatm, 31°C",X_F,NA
SFSX26,F,S,X,26,9,24642000,2250298.235,2800_31_1,2800,31,T90,10.95054852,0.000566264,0.62325645,9.800451532,4.36E-06,4.36,5.776780015,1.791052689,"2917uatm, 31°C",X_F,0.381868238
SFSX27,F,S,X,27,7,17402000,1476148.749,2800_31_1,2800,31,T60,11.78878484,0.000691015,0.509665196,7.288825877,4.94E-06,4.94,5.302556909,1.522049857,"2917uatm, 31°C",X_F,0.023327256
SFSX28,F,S,X,28,4.5,10287000,1093998.52,2800_31_1,2800,31,T30,9.403120581,0.000550253,0.155533473,2.03275496,1.86E-06,1.86,0.98487066,0.159797373,"2917uatm, 31°C",X_F,0.711591052
SFSX29,F,S,X,29,9,13590000,1413504.374,2800_28_1,2800,28,T0,9.614402511,NA,0.161476493,2.66293823,1.88E-06,1.88,2.60694176,0.383179611,"2750uatm, 28°C",X_F,NA
SFSX30,F,S,X,30,21,28224000,2990743.671,2800_28_1,2800,28,T60,9.437117689,0.000240277,0.853014688,5.964804282,1.99E-06,1.99,4.927302725,0.690281654,"2750uatm, 28°C",X_F,-0.31132387
SFSX31,F,S,X,31,8.5,13124000,1232190.074,2800_28_1,2800,28,T90,10.65095416,0.000464908,0.545334554,7.688805975,6.24E-06,6.24,4.473841555,0.426205603,"2750uatm, 28°C",X_F,0.893034232
SFSX32,F,S,X,32,11,42372000,3764448.753,2800_28_1,2800,28,T30,11.25583127,0.000378656,0.5456431,5.250284814,1.39E-06,1.39,3.956693913,1.577672011,"2750uatm, 28°C",X_F,0.489158217
SFSX5,F,S,X,5,7.5,15390000,1397608.528,280_28_1,280,28,T0,11.01166721,NA,0.539200821,3.232760246,2.31E-06,2.31,4.249299138,0.994725698,"358uatm, 28°C",X_F,NA
SFSX6,F,S,X,6,13,83200000,6375803.089,280_28_1,280,28,T30,13.0493365,0.001016598,0.747164425,5.079651366,7.97E-07,0.797,7.72050017,1.264339096,"358uatm, 28°C",X_F,0.965779201
SFSX8,F,S,X,8,9,24174000,2193452.821,280_28_1,280,28,T90,11.02098015,0.001064329,0.660104628,14.95678222,6.82E-06,6.82,3.423371142,1.184486874,"358uatm, 28°C",X_F,1.474460509
SFSX9,F,S,X,9,8,22544000,1634019.281,400_31_1,400,31,T0,13.79665482,NA,0.401063403,2.859823668,1.75E-06,1.75,2.86337274,0.160635879,"424uatm, 31°C",X_F,NA
SFSY10,F,S,Y,10,10,28940000,2528292.784,400_31_2,400,31,T90,11.44645912,0.001392721,0.604262558,22.82683205,9.03E-06,9.03,4.294642691,0.931952606,"424uatm, 31°C",Y_F,2.189013332
SFSY11,F,S,Y,11,8,14096000,1328121.055,400_31_2,400,31,T60,10.61349035,0.001356395,0.659537981,6.14632113,4.63E-06,4.63,5.168794567,1.195681641,"424uatm, 31°C",Y_F,0.964007235
SFSY12,F,S,Y,12,8.5,22321000,2185286.924,400_31_2,400,31,T30,10.21421936,0.001235585,0.637999483,5.905868856,2.70E-06,2.7,5.425350231,0.811005934,"424uatm, 31°C",Y_F,1.223644313
SFSY17,F,S,Y,17,12,18288000,1993699.65,700_31_2,700,31,T0,9.172896227,NA,0.446968972,4.0146099,2.01E-06,2.01,5.076475641,0.268416016,"606uatm, 31°C",Y_F,NA
SFSY18,F,S,Y,18,10,14500000,1431441.143,700_31_2,700,31,T90,10.12965156,0.001218166,0.608773819,8.915449804,6.23E-06,6.23,3.771439307,1.413489224,"606uatm, 31°C",Y_F,1.003160534
SFSY19,F,S,Y,19,60,NA,NA,700_31_2,700,31,T60,7.727034385,0.001258509,0.427071996,15.0009634,NA,NA,1.193780484,0.654694582,"606uatm, 31°C",Y_F,1.459162654
SFSY20,F,S,Y,20,6.5,34099000,3075081.949,700_31_2,700,31,T30,11.08881017,0.000667604,0.229585798,5.550763251,1.81E-06,1.81,1.023573151,0.856036066,"606uatm, 31°C",Y_F,0.896012659
SFSY21,F,S,Y,21,18,59832000,6468420.033,700_28_2,700,28,T0,9.249863135,NA,0.762173439,2.540387858,3.93E-07,0.393,3.504323101,0.304663602,"674uatm, 28°C",Y_F,NA
SFSY22,F,S,Y,22,7.5,23700000,2248457.269,700_28_2,700,28,T60,10.54056056,0.001681521,0.587018116,10.23156211,4.55E-06,4.55,4.27816807,0.525436235,"674uatm, 28°C",Y_F,1.370894832
SFSY23,F,S,Y,23,9,42642000,4045655.381,700_28_2,700,28,T30,10.54019584,0.000793687,0.533671299,5.257374803,1.30E-06,1.3,4.254344255,1.249864109,"674uatm, 28°C",Y_F,1.091898453
SFSY24,F,S,Y,24,12,29664000,2600777.413,700_28_2,700,28,T90,11.40582037,0.001171629,0.815373178,21.5244491,8.28E-06,8.28,6.354743385,0.221927193,"674uatm, 28°C",Y_F,0.96310477
SFSY25,F,S,Y,25,14.5,22562000,2032986.269,2800_31_2,2800,31,T0,11.09795986,NA,0.5879459,3.50784473,1.73E-06,1.73,4.140075326,0.726276216,"2917uatm, 31°C",Y_F,NA
SFSY27,F,S,Y,27,10,7380000,677244.5353,2800_31_2,2800,31,T30,10.8970979,0.000612099,0.497074241,4.859892102,7.18E-06,7.18,2.502637175,0.591661742,"2917uatm, 31°C",Y_F,0.69999749
SFSY28,F,S,Y,28,9,5904000,602197.0252,2800_31_2,2800,31,T90,9.804100241,0.000822274,0.160647072,2.951255015,4.90E-06,4.9,0.536947463,0.198424653,"2917uatm, 31°C",Y_F,0.448621824
SFSY29,F,S,Y,29,20,63840000,5697338.912,2800_28_2,2800,28,T0,11.20523125,NA,0.72882625,3.239515473,5.69E-07,0.569,6.294220471,0.65849695,"2750uatm, 28°C",Y_F,NA
SFSY30,F,S,Y,30,7.5,6705000,691565.1698,2800_28_2,2800,28,T30,9.69539863,0.00069911,0.302978775,0.014469751,2.09E-08,0.0209,2.735836545,1.190682289,"2750uatm, 28°C",Y_F,0.654646505
SFSY32,F,S,Y,32,14.5,25346000,1959497.324,2800_28_2,2800,28,T90,12.93495005,0.000597759,0.831403803,12.33693207,6.30E-06,6.3,6.288900612,0.780674493,"2750uatm, 28°C",Y_F,0.370185684
SFSY5,F,S,Y,5,7.5,45180000,4616809.347,280_28_2,280,28,T0,9.785979148,NA,0.549255207,2.311617433,5.01E-07,0.501,4.824644978,0.520591057,"358uatm, 28°C",Y_F,NA
SFSY54,F,S,Y,54,44,30624000,5349019.051,2800_28_2,2800,28,T60,5.725161887,0.000682039,0.518762623,9.862763904,1.84E-06,1.84,2.169824032,0.900660947,"2750uatm, 28°C",Y_F,0.217985102
SFSY6,F,S,X,6,22,28556000,2494477.456,280_28_2,280,28,T30,11.44768815,0.001361616,0.896833189,8.700837997,3.49E-06,3.49,6.097760014,1.182329521,"358uatm, 28°C",X_F,NA
SFSY8,F,S,Y,8,10,28520000,2228197.835,280_28_2,280,28,T90,12.79958159,0.001171467,0.403659028,10.67264887,4.79E-06,4.79,2.910681158,1.067791694,"358uatm, 28°C",Y_F,1.552974151
SFSY9,F,S,Y,9,9,59976000,4906239.321,400_31_2,400,31,T0,12.22443425,NA,0.52763178,3.026803469,6.17E-07,0.617,4.595832973,0.628910988,"424uatm, 31°C",Y_F,NA
SFSZ10,F,P,Z,10,9,54000,4195.491754,400_31_3,400,31,T90,12.87095844,0.000387505,0.104887294,1.90742594,0.000454637,455,0.831328646,0.11549304,"424uatm, 31°C",Z_F,-0.343158143
SFSZ11,F,P,Z,11,5,11320000,1105763.806,400_31_3,400,31,T30,10.23726761,0.001116187,0.419219935,4.607854536,4.17E-06,4.17,3.215241884,1.580627295,"424uatm, 31°C",Z_F,0.891644172
SFSZ12,F,P,Z,12,5,240000,18535.53443,400_31_3,400,31,T60,12.94810252,0.000680729,0.040063785,10.04912649,0.000542155,542,3.113334439,1.122985942,"424uatm, 31°C",Z_F,-0.147645448
SFSZ17,F,P,Z,17,14.5,17690000,1607450.855,700_31_2,700,31,T0,11.00500208,NA,0.691730901,11.34541539,7.06E-06,7.06,5.802680289,1.778442496,"606uatm, 31°C",Z_F,NA
SFSZ18,F,P,Z,18,10,10340000,1076827.168,700_31_2,700,31,T60,9.60228373,0.000854231,0.572780409,6.537911372,6.07E-06,6.07,2.926275209,1.047835737,"606uatm, 31°C",Z_F,NA
SFSZ19,F,P,Z,19,11,814000,76349.71062,700_31_3,700,31,T90,10.66146804,0.000403407,0.378309377,2.042843435,2.68E-05,26.8,1.698428172,0.828528684,"606uatm, 31°C",Z_F,-0.631932986
SFSZ20,F,P,Z,20,9,18198000,1490129.36,700_31_3,700,31,T30,12.21236255,0.000851064,0.528153334,8.414502891,5.65E-06,5.65,3.662045569,0.917690778,"606uatm, 31°C",Z_F,0.83514904
SFSZ21,F,P,Z,21,19,72352000,6256794.698,700_28_3,700,28,T0,11.56374845,NA,1.136453869,20.13863247,3.22E-06,3.22,7.175263333,0.404350025,"674uatm, 28°C",Z_F,NA
SFSZ22,F,P,Z,22,9,14220000,1131611.153,700_28_3,700,28,T30,12.56615398,0.00073863,0.471504647,9.252129184,8.18E-06,8.18,3.828620943,0.320472738,"674uatm, 28°C",Z_F,0.838051042
SFSZ23,F,P,Z,23,20,NA,NA,700_28_3,700,28,T60,12.92202173,0.00127813,1.199502704,22.12012997,NA,NA,5.149694144,0.377988093,"674uatm, 28°C",Z_F,1.351975471
SFSZ24,F,P,Z,24,10,22360000,1961369.666,700_28_3,700,28,T90,11.4001967,0.00124598,0.723671724,27.22647759,1.39E-05,13.9,5.637227527,0.671521232,"674uatm, 28°C",Z_F,1.307472567
SFSZ25,F,P,Z,25,17.5,28525000,2502377.728,2800_31_3,2800,31,T0,11.39915836,NA,0.754807188,14.82978257,5.93E-06,5.93,5.259349907,0.634211341,"2917uatm, 31°C",Z_F,NA
SFSZ26,F,P,Z,26,7,658000,68536.20549,2800_31_3,2800,31,T60,9.600764957,0.000612031,0.668349522,3.579981403,5.22E-05,52.2,5.1132288,0.809778925,"2917uatm, 31°C",Z_F,-0.067911255
SFSZ27,F,P,Z,27,9,162000,16719.92686,2800_31_3,2800,31,T90,9.6890376,0.000306755,0.074310786,1.056969786,6.32E-05,63.2,2.448601502,1.423088011,"2917uatm, 31°C",Z_F,-0.93648792
SFSZ28,F,P,Z,28,8,3376000,343324.6887,2800_31_3,2800,31,T30,9.833257295,0.000631326,0.562716216,8.684845462,2.53E-05,25.3,2.859475711,0.346834473,"2917uatm, 31°C",Z_F,0.797942362
SFSZ29,F,P,Z,29,19.5,41769000,4053070.527,2800_28_3,2800,28,T0,10.30552015,NA,1.245691611,16.84596191,4.16E-06,4.16,4.918720661,0.486736156,"2750uatm, 28°C",Z_F,NA
SFSZ30,F,P,Z,30,21,9744000,868044.6154,2800_28_3,2800,28,T60,11.22522947,0.000924175,0.873033378,11.79457403,1.36E-05,13.6,3.124229098,1.008897247,"2750uatm, 28°C",Z_F,0.844146069
SFSZ31,F,P,Z,31,16,34240000,2275505.066,2800_28_3,2800,28,T90,15.04720886,0.000972038,0.779768091,15.26672502,6.71E-06,6.71,7.054786732,0.492740537,"2750uatm, 28°C",Z_F,0.841329896
SFSZ35,F,P,Z,35,10,6420000,691554.2875,400_31_2,400,31,T0,9.283436045,NA,0.727101471,8.726975616,1.26E-05,12.6,3.862122914,0.851156226,"424uatm, 31°C",Z_F,NA
SFSZ38,F,P,Z,38,12,18264000,1212641.272,280_28_2,280,28,T0,15.06133794,NA,0.902974228,8.61586139,7.11E-06,7.11,6.029797412,0.952761026,"358uatm, 28°C",Z_F,NA
SFSZ42,F,P,Z,42,6.5,12597000,1190853.453,2800_28_3,2800,28,T30,10.57812779,0.000119714,0.179222011,4.50910794,3.79E-06,3.79,0.96854851,0.033455143,"2750uatm, 28°C",Z_F,0.065372168
SFSZ5,F,P,Z,5,9,11754000,1122335.147,280_28_3,280,28,T0,10.47280755,NA,0.730463151,12.22335075,1.09E-05,10.9,4.396991441,0.444391985,"358uatm, 28°C",Z_F,NA
SFSZ6,F,P,Z,6,6,31212000,2521606.147,280_28_3,280,28,T30,12.37782516,0.001889832,0.763462069,17.99243382,7.14E-06,7.14,5.578507811,0.596439576,"358uatm, 28°C",Z_F,1.830206938
SFSZ7,F,P,Z,7,14,18620000,1707133.876,280_28_3,280,28,T60,10.90717035,0.001316587,0.823617221,19.93609643,1.17E-05,11.7,NA,NA,"358uatm, 28°C",Z_F,1.459375238
SFSZ8,F,P,Z,8,15,74220000,5643196.124,280_28_3,280,28,T90,13.15212131,0.00183145,0.978929535,36.39966426,6.45E-06,6.45,9.130124656,0.459339601,"358uatm, 28°C",Z_F,2.410723585
SFSZ9,F,P,Z,9,11,17160000,1645362.955,400_31_3,400,31,T0,10.42930981,NA,0.905301199,13.06459608,7.94E-06,7.94,4.351768809,1.904415961,"424uatm, 31°C",Z_F,NA
SNPX10,N,P,X,10,12,1776000,108230.0645,400_31_1,400,31,T90,16.40948851,0.000630872,0.688625974,2.190732513,2.02E-05,20.2,5.742001513,0.878266114,"424uatm, 31°C",X_N,-0.16021415
SNPX11,N,P,X,11,13,10478000,707739.5999,400_31_3,400,31,T30,14.80488021,0.003340735,0.658566625,10.89716348,1.54E-05,15.4,4.864918915,1.118375503,"424uatm, 31°C",X_N,NA
SNPX12,N,P,X,12,8,4080000,332551.2868,400_31_1,400,31,T60,12.26878428,0.00085613,0.657495191,7.375283316,2.22E-05,22.2,3.209643662,0.284796321,"424uatm, 31°C",X_N,0.53471043
SNPX17,N,P,X,17,40,42400000,3717649.968,700_31_1,700,31,T0,11.40505437,NA,0.377025822,10.31705384,2.78E-06,2.78,2.919882467,1.258959639,"606uatm, 31°C",X_N,NA
SNPX18,N,P,X,18,12,24432000,1944893.367,700_31_1,700,31,T60,12.56212829,0.00158916,0.931370841,12.07489658,6.21E-06,6.21,4.12613289,0.588839793,"606uatm, 31°C",X_N,1.194412175
SNPX19,N,P,X,19,9,7848000,632318.2379,700_31_1,700,31,T90,12.41147183,0.000928376,0.80369195,4.125628345,6.52E-06,6.52,4.23054603,0.430248818,"606uatm, 31°C",X_N,0.643517555
SNPX20,N,P,X,20,10,9320000,729892.1364,700_31_1,700,31,T30,12.76901002,0.001222359,0.672200376,3.501978614,4.80E-06,4.8,5.161338934,0.865785235,"606uatm, 31°C",X_N,1.353119778
SNPX21,N,P,X,21,37,102860000,8176380.532,700_28_1,700,28,T0,12.58013856,NA,1.127438563,10.17578617,1.24E-06,1.24,7.307705832,0.275976336,"674uatm, 28°C",X_N,NA
SNPX22,N,P,X,22,11,19404000,1534549.074,700_28_1,700,28,T30,12.6447569,0.001869782,0.68144186,19.13811407,1.25E-05,12.5,3.275353677,0.992649729,"674uatm, 28°C",X_N,2.19521351
SNPX23,N,P,X,23,12,30360000,1727362.894,700_28_1,700,28,T90,17.57592461,0.001504612,0.859129766,13.86842544,8.03E-06,8.03,8.992851957,1.465125161,"674uatm, 28°C",X_N,1.549796765
SNPX24,N,P,X,24,82,53792000,4021670.508,700_28_1,700,28,T60,13.37553633,0.001362187,0.561971235,18.7480183,4.66E-06,4.66,3.431042535,1.909812847,"674uatm, 28°C",X_N,1.104590262
SNPX25,N,P,X,25,37.5,22500000,1371315.369,2800_31_1,2800,31,T0,16.40760434,NA,0.145702258,9.04181725,6.59E-06,6.59,2.442344333,0.325176623,"2917uatm, 31°C",X_N,NA
SNPX26,N,P,X,26,17.5,14980000,972588.048,2800_31_1,2800,31,T90,15.40220449,0.000964383,0.795340693,3.267604974,3.36E-06,3.36,4.420366785,1.30848743,"2917uatm, 31°C",X_N,0.418612515
