id,rz,spp,gen,nub,vol_ml,tot_zoox,zoox_cm2,tank,pco2,temp,time,sur_area,perchg_day_bw,prot_mg_cm2,chlA_ug_cm2,chlA_ug_zoox,chlA_pg_zoox
SFSX26,F,S,X,26,9,24642000,2250298.235,2800_31_1,2800,31,T90,10.95054852,0.000566264,0.62325645,9.800451532,4.36E-06,4.36E+00
SFSX27,F,S,X,27,7,17402000,1476148.749,2800_31_1,2800,31,T60,11.78878484,0.000691015,0.509665196,7.288825877,4.94E-06,4.94E+00
SFSX28,F,S,X,28,4.5,10287000,1093998.52,2800_31_1,2800,31,T30,9.403120581,0.000550253,0.155533473,2.03275496,1.86E-06,1.86E+00
SFSX29,F,S,X,29,9,13590000,1413504.374,2800_28_1,2800,28,T0,9.614402511,NA,0.161476493,2.66293823,1.88E-06,1.88E+00
SFSX3,F,S,X,3,9,20988000,2044036.927,280_31_1,280,31,T90,10.26791626,0.00043545,0.628170296,13.62859576,6.67E-06,6.67E+00
SFSX30,F,S,X,30,21,28224000,2990743.671,2800_28_1,2800,28,T60,9.437117689,0.000240277,0.853014688,5.964804282,1.99E-06,1.99E+00
SFSX31,F,S,X,31,8.5,13124000,1232190.074,2800_28_1,2800,28,T90,10.65095416,0.000464908,0.545334554,7.688805975,6.24E-06,6.24E+00
SFSX32,F,S,X,32,11,42372000,3764448.753,2800_28_1,2800,28,T30,11.25583127,0.000378656,0.5456431,5.250284814,1.39E-06,1.39E+00
SFSX37,F,S,X,37,5,36900000,2881535.483,400_28_1,400,28,T30,12.80567261,0.000255781,0.367675598,4.998284898,1.73E-06,1.73E+00
SFSX39,F,S,X,39,15,41460000,4119219.315,400_28_1,400,28,T90,10.06501398,0.000632911,0.919025052,20.73304621,5.03E-06,5.03E+00
SFSX4,F,S,X,4,14,31052000,2644022.972,280_31_1,280,31,T60,11.74422474,0.000903685,0.735113089,11.60184882,4.39E-06,4.39E+00
SFSX40,F,S,X,40,12,10512000,1129231.53,400_28_1,400,28,T60,9.308985558,0.000790635,0.311526963,11.7170576,1.04E-05,1.04E+01
SFSX5,F,S,X,5,7.5,15390000,1397608.528,280_28_1,280,28,T0,11.01166721,NA,0.539200821,3.232760246,2.31E-06,2.31E+00
SFSX6,F,S,X,6,13,83200000,6375803.089,280_28_1,280,28,T30,13.0493365,0.001016598,0.747164425,5.079651366,7.97E-07,7.97E-01
SFSX8,F,S,X,8,9,24174000,2193452.821,280_28_1,280,28,T90,11.02098015,0.001064329,0.660104628,14.95678222,6.82E-06,6.82E+00
SFSX9,F,S,X,9,8,22544000,1634019.281,400_31_1,400,31,T0,13.79665482,NA,0.401063403,2.859823668,1.75E-06,1.75E+00
SFSY1,F,S,Y,1,7.5,21210000,1966066.854,280_31_2,280,31,T0,10.788036,NA,0.463476392,1.479209005,7.52E-07,7.52E-01
SFSY10,F,S,Y,10,10,28940000,2528292.784,400_31_2,400,31,T90,11.44645912,0.001392721,0.604262558,22.82683205,9.03E-06,9.03E+00
SFSY11,F,S,Y,11,8,14096000,1328121.055,400_31_2,400,31,T60,10.61349035,0.001356395,0.659537981,6.14632113,4.63E-06,4.63E+00
SFSY12,F,S,Y,12,8.5,22321000,2185286.924,400_31_2,400,31,T30,10.21421936,0.001235585,0.637999483,5.905868856,2.70E-06,2.70E+00
SFSY15,F,S,Y,15,9,38232000,4404023.538,400_28_2,400,28,T0,8.681152512,NA,0.371494453,2.605810688,5.92E-07,5.92E-01
SFSY17,F,S,Y,17,12,18288000,1993699.65,700_31_2,700,31,T0,9.172896227,NA,0.446968972,4.0146099,2.01E-06,2.01E+00
SFSY18,F,S,Y,18,10,14500000,1431441.143,700_31_2,700,31,T90,10.12965156,0.001218166,0.608773819,8.915449804,6.23E-06,6.23E+00
SFSY19,F,S,Y,19,60,NA,NA,700_31_2,700,31,T60,7.727034385,0.001258509,0.427071996,15.0009634,NA,NA
SFSY2,F,S,Y,2,13,36348000,3292184.162,280_31_2,280,31,T30,11.04069463,0.000764777,0.66722855,11.00695962,3.34E-06,3.34E+00
SFSY20,F,S,Y,20,6.5,34099000,3075081.949,700_31_2,700,31,T30,11.08881017,0.000667604,0.229585798,5.550763251,1.81E-06,1.81E+00
SFSY21,F,S,Y,21,18,59832000,6468420.033,700_28_2,700,28,T0,9.249863135,NA,0.762173439,2.540387858,3.93E-07,3.93E-01
SFSY22,F,S,Y,22,7.5,23700000,2248457.269,700_28_2,700,28,T60,10.54056056,0.001681521,0.587018116,10.23156211,4.55E-06,4.55E+00
SFSY23,F,S,Y,23,9,42642000,4045655.381,700_28_2,700,28,T30,10.54019584,0.000793687,0.533671299,5.257374803,1.30E-06,1.30E+00
SFSY24,F,S,Y,24,12,29664000,2600777.413,700_28_2,700,28,T90,11.40582037,0.001171629,0.815373178,21.5244491,8.28E-06,8.28E+00
SFSY25,F,S,Y,25,14.5,22562000,2032986.269,2800_31_2,2800,31,T0,11.09795986,NA,0.5879459,3.50784473,1.73E-06,1.73E+00
SFSY27,F,S,Y,27,10,7380000,677244.5353,2800_31_2,2800,31,T30,10.8970979,0.000612099,0.497074241,4.859892102,7.18E-06,7.18E+00
SFSY28,F,S,Y,28,9,5904000,602197.0252,2800_31_2,2800,31,T90,9.804100241,0.000822274,0.160647072,2.951255015,4.90E-06,4.90E+00
SFSY29,F,S,Y,29,20,63840000,5697338.912,2800_28_2,2800,28,T0,11.20523125,NA,0.72882625,3.239515473,5.69E-07,5.69E-01
SFSY30,F,S,Y,30,7.5,6705000,691565.1698,2800_28_2,2800,28,T30,9.69539863,0.00069911,0.302978775,0.014469751,2.09E-08,2.09E-02
SFSY32,F,S,Y,32,14.5,25346000,1959497.324,2800_28_2,2800,28,T90,12.93495005,0.000597759,0.831403803,12.33693207,6.30E-06,6.30E+00
SFSY35,F,S,Y,35,15.5,19964000,2929140.15,280_31_2,280,31,T60,6.815652027,NA,0.322175094,21.74101603,7.42E-06,7.42E+00
SFSY39,F,S,Y,39,16,70784000,5790051.336,400_28_2,400,28,T90,12.2251075,0.001297296,0.992492977,23.66801274,4.09E-06,4.09E+00
SFSY4,F,S,Y,4,8,16096000,2222646.626,280_31_2,280,31,T90,7.241816945,0.00111207,0.6444055,16.82936767,7.57E-06,7.57E+00
SFSY46,F,S,Y,46,10,15540000,1984592.049,400_28_2,400,28,T60,7.830324629,0.000931252,0.723682214,11.73497197,5.91E-06,5.91E+00
SFSY5,F,S,Y,5,7.5,45180000,4616809.347,280_28_2,280,28,T0,9.785979148,NA,0.549255207,2.311617433,5.01E-07,5.01E-01
SFSY54,F,S,Y,54,44,30624000,5349019.051,2800_28_2,2800,28,T60,5.725161887,0.000682039,0.518762623,9.862763904,1.84E-06,1.84E+00
SFSY6,F,S,X,6,22,28556000,2494477.456,280_28_2,280,28,T30,11.44768815,0.001361616,0.896833189,8.700837997,3.49E-06,3.49E+00
SFSY61,F,S,Y,61,9.5,31331000,2493449.607,400_28_2,400,28,T30,12.56532312,0.000665826,0.478831034,5.903332471,2.37E-06,2.37E+00
SFSY8,F,S,Y,8,10,28520000,2228197.835,280_28_2,280,28,T90,12.79958159,0.001171467,0.403659028,10.67264887,4.79E-06,4.79E+00
SFSY9,F,S,Y,9,9,59976000,4906239.321,400_31_2,400,31,T0,12.22443425,NA,0.52763178,3.026803469,6.17E-07,6.17E-01
SFSZ1,F,P,Z,1,8,15664000,1554460.379,280_31_3,280,31,T0,10.07680878,NA,0.787286283,13.85225849,8.91E-06,8.91E+00
SFSZ10,F,P,Z,10,9,54000,4195.491754,400_31_3,400,31,T90,12.87095844,0.000387505,0.104887294,1.90742594,0.000454637,4.55E+02
SFSZ11,F,P,Z,11,5,11320000,1105763.806,400_31_3,400,31,T30,10.23726761,0.001116187,0.419219935,4.607854536,4.17E-06,4.17E+00
SFSZ12,F,P,Z,12,5,240000,18535.53443,400_31_3,400,31,T60,12.94810252,0.000680729,0.040063785,10.04912649,0.000542155,5.42E+02
SFSZ17,F,P,Z,17,14.5,17690000,1607450.855,700_31_2,700,31,T0,11.00500208,NA,0.691730901,11.34541539,7.06E-06,7.06E+00
SFSZ18,F,P,Z,18,10,10340000,1076827.168,700_31_2,700,31,T60,9.60228373,0.000854231,0.572780409,6.537911372,6.07E-06,6.07E+00
SFSZ19,F,P,Z,19,11,814000,76349.71062,700_31_3,700,31,T90,10.66146804,0.000403407,0.378309377,2.042843435,2.68E-05,2.68E+01
SFSZ2,F,P,Z,2,9,342000,32679.46842,280_31_3,280,31,T90,10.46528651,0.000835665,0.200663403,3.284244533,0.000100499,1.00E+02
SFSZ20,F,P,Z,20,9,18198000,1490129.36,700_31_3,700,31,T30,12.21236255,0.000851064,0.528153334,8.414502891,5.65E-06,5.65E+00
SFSZ21,F,P,Z,21,19,72352000,6256794.698,700_28_3,700,28,T0,11.56374845,NA,1.136453869,20.13863247,3.22E-06,3.22E+00
SFSZ22,F,P,Z,22,9,14220000,1131611.153,700_28_3,700,28,T30,12.56615398,0.00073863,0.471504647,9.252129184,8.18E-06,8.18E+00
SFSZ23,F,P,Z,23,20,NA,NA,700_28_3,700,28,T60,12.92202173,0.00127813,1.199502704,22.12012997,NA,NA
SFSZ24,F,P,Z,24,10,22360000,1961369.666,700_28_3,700,28,T90,11.4001967,0.00124598,0.723671724,27.22647759,1.39E-05,1.39E+01
SFSZ25,F,P,Z,25,17.5,28525000,2502377.728,2800_31_3,2800,31,T0,11.39915836,NA,0.754807188,14.82978257,5.93E-06,5.93E+00
SFSZ26,F,P,Z,26,7,658000,68536.20549,2800_31_3,2800,31,T60,9.600764957,0.000612031,0.668349522,3.579981403,5.22E-05,5.22E+01
SFSZ27,F,P,Z,27,9,162000,16719.92686,2800_31_3,2800,31,T90,9.6890376,0.000306755,0.074310786,1.056969786,6.32E-05,6.32E+01
SFSZ28,F,P,Z,28,8,3376000,343324.6887,2800_31_3,2800,31,T30,9.833257295,0.000631326,0.562716216,8.684845462,2.53E-05,2.53E+01
SFSZ29,F,P,Z,29,19.5,41769000,4053070.527,2800_28_3,2800,28,T0,10.30552015,NA,1.245691611,16.84596191,4.16E-06,4.16E+00
SFSZ3,F,P,Z,3,8,2448000,239393.7316,280_31_3,280,31,T60,10.22583166,0.001000302,0.593268779,7.065275704,2.95E-05,2.95E+01
SFSZ30,F,P,Z,30,21,9744000,868044.6154,2800_28_3,2800,28,T60,11.22522947,0.000924175,0.873033378,11.79457403,1.36E-05,1.36E+01
SFSZ31,F,P,Z,31,16,34240000,2275505.066,2800_28_3,2800,28,T90,15.04720886,0.000972038,0.779768091,15.26672502,6.71E-06,6.71E+00
SFSZ33,F,P,Z,33,9,19260000,1613079.113,400_28_2,400,28,T0,11.93989796,NA,0.659553376,9.120560361,5.65E-06,5.65E+00
SFSZ35,F,P,Z,35,10,6420000,691554.2875,400_31_2,400,31,T0,9.283436045,NA,0.727101471,8.726975616,1.26E-05,1.26E+01
SFSZ36,F,P,Z,36,7.5,10380000,1048348.949,280_31_2,280,31,T0,9.901283355,NA,0.599669738,6.393611588,6.10E-06,6.10E+00
SFSZ38,F,P,Z,38,12,18264000,1212641.272,280_28_2,280,28,T0,15.06133794,NA,0.902974228,8.61586139,7.11E-06,7.11E+00
SFSZ39,F,P,Z,39,28,18256000,1349814.824,400_28_3,400,28,T0,13.52481813,NA,0.293287986,9.854003119,7.30E-06,7.30E+00
SFSZ4,F,P,Z,4,5.5,37279000,3098518.272,280_31_3,280,31,T30,12.03123452,0.00104463,0.396190986,6.544352523,2.11E-06,2.11E+00
SFSZ40,F,P,Z,40,5.5,1760000,223739.4814,400_28_3,400,28,T30,7.866291586,3.35E-05,0.477777018,0.911766354,4.08E-06,4.08E+00
SFSZ41,F,P,Z,41,10,3780000,965839.4121,400_28_3,400,28,T90,3.913694091,0.000121989,0.787831972,9.633456045,9.97E-06,9.97E+00
SFSZ42,F,P,Z,42,6.5,12597000,1190853.453,2800_28_3,2800,28,T30,10.57812779,0.000119714,0.179222011,4.50910794,3.79E-06,3.79E+00
SFSZ44,F,P,Z,44,2,2768000,400981.4231,400_28_3,400,28,T60,6.903062936,0.000285972,0.183493426,1.930644429,4.81E-06,4.81E+00
SFSZ5,F,P,Z,5,9,11754000,1122335.147,280_28_3,280,28,T0,10.47280755,NA,0.730463151,12.22335075,1.09E-05,1.09E+01
SFSZ6,F,P,Z,6,6,31212000,2521606.147,280_28_3,280,28,T30,12.37782516,0.001889832,0.763462069,17.99243382,7.14E-06,7.14E+00
SFSZ7,F,P,Z,7,14,18620000,1707133.876,280_28_3,280,28,T60,10.90717035,0.001316587,0.823617221,19.93609643,1.17E-05,1.17E+01
SFSZ8,F,P,Z,8,15,74220000,5643196.124,280_28_3,280,28,T90,13.15212131,0.00183145,0.978929535,36.39966426,6.45E-06,6.45E+00
SFSZ9,F,P,Z,9,11,17160000,1645362.955,400_31_3,400,31,T0,10.42930981,NA,0.905301199,13.06459608,7.94E-06,7.94E+00
SNPX1,N,P,X,1,7.5,15525000,1186903.275,280_31_1,280,31,T0,13.08025711,NA,0.630721547,9.371118545,7.90E-06,7.90E+00
SNPX10,N,P,X,10,12,1776000,108230.0645,400_31_1,400,31,T90,16.40948851,0.000630872,0.688625974,2.190732513,2.02E-05,2.02E+01
SNPX11,N,P,X,11,13,10478000,707739.5999,400_31_3,400,31,T30,14.80488021,0.003340735,0.658566625,10.89716348,1.54E-05,1.54E+01
SNPX12,N,P,X,12,8,4080000,332551.2868,400_31_1,400,31,T60,12.26878428,0.00085613,0.657495191,7.375283316,2.22E-05,2.22E+01
SNPX13,N,P,X,13,10,15100000,1252859.039,400_28_1,400,28,T0,12.0524333,NA,0.725994476,14.84075419,1.18E-05,1.18E+01
SNPX17,N,P,X,17,40,42400000,3717649.968,700_31_1,700,31,T0,11.40505437,NA,0.377025822,10.31705384,2.78E-06,2.78E+00
SNPX18,N,P,X,18,12,24432000,1944893.367,700_31_1,700,31,T60,12.56212829,0.00158916,0.931370841,12.07489658,6.21E-06,6.21E+00
SNPX19,N,P,X,19,9,7848000,632318.2379,700_31_1,700,31,T90,12.41147183,0.000928376,0.80369195,4.125628345,6.52E-06,6.52E+00
SNPX20,N,P,X,20,10,9320000,729892.1364,700_31_1,700,31,T30,12.76901002,0.001222359,0.672200376,3.501978614,4.80E-06,4.80E+00
SNPX21,N,P,X,21,37,102860000,8176380.532,700_28_1,700,28,T0,12.58013856,NA,1.127438563,10.17578617,1.24E-06,1.24E+00
SNPX22,N,P,X,22,11,19404000,1534549.074,700_28_1,700,28,T30,12.6447569,0.001869782,0.68144186,19.13811407,1.25E-05,1.25E+01
SNPX23,N,P,X,23,12,30360000,1727362.894,700_28_1,700,28,T90,17.57592461,0.001504612,0.859129766,13.86842544,8.03E-06,8.03E+00
SNPX24,N,P,X,24,82,53792000,4021670.508,700_28_1,700,28,T60,13.37553633,0.001362187,0.561971235,18.7480183,4.66E-06,4.66E+00
SNPX25,N,P,X,25,37.5,22500000,1371315.369,2800_31_1,2800,31,T0,16.40760434,NA,0.145702258,9.04181725,6.59E-06,6.59E+00
SNPX26,N,P,X,26,17.5,14980000,972588.048,2800_31_1,2800,31,T90,15.40220449,0.000964383,0.795340693,3.267604974,3.36E-06,3.36E+00
SNPX27,N,P,X,27,12,2736000,188634.2382,2800_31_1,2800,31,T30,14.50425981,0.00124006,0.861815781,12.93655812,6.86E-05,6.86E+01
SNPX28,N,P,X,28,27.5,8470000,509727.1009,2800_31_1,2800,31,T60,16.61673469,0.001044059,0.262035036,3.756945101,7.37E-06,7.37E+00
SNPX29,N,P,X,29,31,58652000,5855960.902,2800_28_1,2800,28,T0,10.01577725,NA,0.515852793,9.034322321,1.54E-06,1.54E+00
SNPX3,N,P,X,3,8,17872000,1272331.782,400_28_1,400,28,T90,14.04665061,0.001485642,0.52681598,21.84720106,1.72E-05,1.72E+01
SNPX30,N,P,X,30,18,71136000,5254597.037,2800_28_1,2800,28,T60,13.53786018,0.001471881,0.642642182,19.94808606,3.80E-06,3.80E+00
SNPX32,N,P,X,32,9.5,16948000,1064152.761,2800_28_1,2800,28,T30,15.92628486,0.000222076,0.63626473,7.509316896,7.06E-06,7.06E+00
